PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13-TAMPER-RTC,gpio,RTC_TAMP0/RTC_TS/RTC_OUT/WKUP1,
3,PC14-OSC32IN,gpio,OSC32IN,
4,PC15-OSC32OUT,gpio,OSC32OUT,
5,PF0-OSCIN,gpio,OSCIN,
6,PF1-OSCOUT,gpio,OSCOUT,
7,NRST,reset,,
8,VSSA,ground,,
9,VDDA,power,,
10,PA0-WKUP,gpio,USART0_CTS/USART1_CTS/TIMER1_CH0/TIMER1_ETI/I2C1_SCL/ADC_IN0/RTC_TAMP1/WKUP0,
11,PA1,gpio,USART0_RTS/USART0_DE,
12,PA2,gpio,ADC_IN1/USART0_TX/USART1_TX/TIMER1_CH2/TIMER14_CH0/ADC_IN2,
13,PA3,gpio,USART0_RX/USART1_RX/TIMER1_CH3/TIMER14_CH1/ADC_IN3,
14,PA4,gpio,SPI0_NSS/USART0_CK/USART1_CK/TIMER13_CH0/SPI1_NSS/ADC_IN4,
15,PA5,gpio,,
16,PA6,gpio,SPI0_SCK/TIMER1_CH0/TIMER1_ETI/ADC_IN5/SPI0_MISO/TIMER2_CH0/TIMER0_BRKIN/TIMER15_CH0/EVENTOUT/ADC_IN6,
17,PA7,gpio,SPI0_MOSI/TIMER2_CH1/TIMER13_CH0/TIMER0_CH0_ON/TIMER16_CH0/EVENTOUT/ADC_IN7,
18,PB0,gpio,TIMER2_CH2/TIMER0_CH1_ON/USART1_RX/EVENTOUT/ADC_IN8,
19,PB1,gpio,TIMER2_CH3/TIMER13_CH0/TIMER0_CH2_ON/SPI1_SCK/ADC_IN9,
20,PB2,gpio,,
21,PB10,gpio,I2C1_SCL/TIMER1_CH2,
22,PB11,gpio,I2C1_SDA/TIMER1_CH3/EVENTOUT,
23,VSS,ground,,
24,VDD,power,,
25,PB12,gpio,SPI0_NSS/SPI1_NSS/TIMER0_BRKIN/I2C1_SMBA/EVENTOUT,
26,PB13,gpio,SPI0_SCK/SPI1_SCK/TIMER0_CH0_ON,
27,PB14,gpio,SPI0_MISO/SPI1_MISO/TIMER0_CH1_ON/TIMER14_CH0,
28,PB15,gpio,SPI0_MOSI/SPI1_MOSI/TIMER0_CH2_ON/TIMER14_CH0_ON/TIMER14_CH1/RTC_REFIN,
29,PA8,gpio,USART0_CK/TIMER0_CH0/CK_OUT/USART1_TX/EVENTOUT,
30,PA9,gpio,,
31,PA10,gpio,USART0_TX/TIMER0_CH1/TIMER14_BRKIN/I2C0_SCL/USART0_RX/TIMER0_CH2/TIMER16_BRKIN/I2C0_SDA,
32,PA11,gpio,USART0_CTS/TIMER0_CH3/EVENTOUT,
33,PA12,gpio,USART0_RTS/USART0_DE/TIMER0_ETI/EVENTOUT,
34,PA13,gpio,IFRP_OUT/SWDIO/SPI1_MISO,
35,PF6,gpio,I2C1_SCL/I2C0_SCL,
36,PF7,gpio,I2C1_SDA/I2C0_SCL,
37,PA14,gpio,USART0_TX/USART1_TX/SWCLK/SPI1_MOSI,
38,PA15,gpio,SPI0_NSS/USART0_RX/USART1_RX/TIMER1_CH0/TIMER1_ETI/SPI1_NSS/EVENTOUT,
39,PB3,gpio,SPI0_SCK/TIMER1_CH1/EVENTOUT,
40,PB4,gpio,SPI0_MISO/TIMER2_CH0/EVENTOUT,
41,PB5,gpio,SPI0_MOSI/I2C0_SMBA/TIMER15_BRKIN/TIMER2_CH1,
42,PB6,gpio,I2C0_SCL/USART0_TX/TIMER15_CH0_ON,
43,PB7,gpio,I2C0_SDA/USART0_RX/TIMER16_CH0_ON,
44,BOOT0,boot,,
45,PB8,gpio,I2C0_SCL/TIMER15_CH0,
46,PB9,gpio,I2C0_SDA/IFRP_OUT/TIMER16_CH0/EVENTOUT,
47,VSS,ground,,
48,VDD,power,,
