PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13-TAMPER-RTC,gpio,RTC_TAMP0/RTC_TS/RTC_OUT/WKUP1,
3,PC14-OSC32IN,gpio,OSC32IN,
4,PC15-OSC32OUT,gpio,OSC32OUT,
5,PF0-OSCIN,gpio,OSCIN,
6,PF1-OSCOUT,gpio,OSCOUT,
7,NRST,reset,,
8,PC0,gpio,EVENTOUT/ADC_IN10,
9,PC1,gpio,EVENTOUT/ADC_IN11,
10,PC2,gpio,EVENTOUT/ADC_IN12,
11,PC3,gpio,EVENTOUT/ADC_IN13,
12,VSSA,ground,,
13,VDDA,power,,
14,PA0-WKUP,gpio,USART0_CTS/USART1_CTS/TIMER1_CH0/ADC_IN0/CMP0_IM6/RTC_TAMP1/WKUP0,
15,PA1,gpio,USART0_RTS/USART0_DE,
16,PA2,gpio,ADC_IN1/CMP0_IP/USART0_TX/USART1_TX/TIMER1_CH2/TIMER14_CH0/CMP1_OUT/TSI_G0_IO2/ADC_IN2/CMP1_IM6,
17,PA3,gpio,USART0_RX/USART1_RX/TIMER1_CH3/TIMER14_CH1/TSI_G0_IO3/ADC_IN3/CMP1_IP,
18,PF4,gpio,SPI1_NSS/EVENTOUT,
19,PF5,gpio,EVENTOUT,
20,PA4,gpio,SPI0_NSS/I2S0_WS/USART0_RX/USART1_RX/TIMER13_CH0/TSI_G1_IO0/SPI1_NSS/ADC_IN4/CMP0_IM4/CMP1_IM4/DAC0_OUT0,
21,PA5,gpio,SPI0_SCK/I2S0_CK/CEC/TIMER1_CH0/TIMER1_ETI/TSI_G1_IO1/ADC_IN5/CMP0_IM5/CMP1_IM5,
22,PA6,gpio,SPI0_MISO/I2S0_MCK/TIMER2_CH0/TIMER0_BRKIN/TIMER15_CH0/CMP0_OUT/TSI_G1_IO2/EVENTOUT/ADC_IN6,
23,PA7,gpio,SPI0_MOSI/I2S0_SD/TIMER2_CH1/TIMER13_CH0/TIMER0_CH0_ON/TIMER16_CH0/CMP1_OUT/TSI_G1_IO3/EVENTOUT/ADC_IN7,
24,PC4,gpio,EVENTOUT/ADC_IN14,
25,PC5,gpio,TSI_G2_IO0/ADC_IN15,
26,PB0,gpio,TIMER2_CH2/TIMER0_CH1_ON/TSI_G2_IO1,
27,PB1,gpio,ADC_IN8/TIMER2_CH3/TIMER13_CH0/TIMER0_CH2_ON/TSI_G2_IO2/SPI1_SCK/ADC_IN9,
28,PB2,gpio,TSI_G2_IO3,
29,PB10,gpio,I2C1_SCL/CEC/TIMER1_CH2/TSITG,
30,PB11,gpio,I2C1_SDA/TIMER1_CH3/TSI_G5_IO0/EVENTOUT,
31,VSS,ground,,
32,VDD,power,,
33,PB12,gpio,SPI0_NSS/SPI1_NSS/TIMER0_BRKIN/TSI_G5_IO1/I2C1_SMBA/EVENTOUT,
34,PB13,gpio,SPI0_SCK/SPI1_SCK/TIMER0_CH0_ON/TSI_G5_IO2,
35,PB14,gpio,SPI0_MISO/SPI1_MISO/TIMER0_CH1_ON/TIMER14_CH0/TSI_G5_IO3,
36,PB15,gpio,SPI0_MOSI/SPI1_MOSI/TIMER0_CH2_ON/TIMER14_CH0_ON/TIMER14_CH1/RTC_REFIN,
37,PC6,gpio,TIMER2_CH0,
38,PC7,gpio,TIMER2_CH1,
39,PC8,gpio,TIMER2_CH2,
40,PC9,gpio,TIMER2_CH3,
41,PA8,gpio,USART0_CK/TIMER0_CH0/MCO/USART1_TX/EVENTOUT,
42,PA9,gpio,,
43,PA10,gpio,USART0_TX/TIMER0_CH1/TIMER14_BRKIN/TSI_G3_IO0/I2C0_SCL/USART0_RX/TIMER0_CH2/TIMER16_BRKIN/TSI_G3_IO1/I2C0_SDA,
44,PA11,gpio,USART0_CTS/TIMER0_CH3/CMP0_OUT/TSI_G3_IO2/EVENTOUT/USBDM,
45,PA12,gpio,USART0_RTS/USART0_DE/TIMER0_ETI/CMP1_OUT/TSI_G3_IO3/EVENTOUT/USBDP,
46,PA13,gpio,IFRP_OUT/SWDIO/SPI1_MISO,
47,PF6,gpio,,
48,PF7,gpio,,
49,PA14,gpio,USART0_TX/USART1_TX/SWCLK/SPI1_MOSI,
50,PA15,gpio,SPI0_NSS/I2S0_WS/USART0_RX/USART1_RX/TIMER1_CH0/TIMER1_ETI/SPI1_NSS/EVENTOUT,
51,PC10,gpio,,
52,PC11,gpio,,
53,PC12,gpio,,
54,PD2,gpio,TIMER2_ETI,
55,PB3,gpio,SPI0_SCK/I2S0_CK/TIMER1_CH1/TSI_G4_IO0/EVENTOUT,
56,PB4,gpio,SPI0_MISO/I2S0_MCK/TIMER2_CH0/TSI_G4_IO1/EVENTOUT,
57,PB5,gpio,SPI0_MOSI/I2S0_SD/I2C0_SMBA/TIMER15_BRKIN/TIMER2_CH1,
58,PB6,gpio,I2C0_SCL/USART0_TX/TIMER15_CH0_ON/TSI_G4_IO2,
59,PB7,gpio,I2C0_SDA/USART0_RX,
60,BOOT0,boot,,
61,PB8,gpio,I2C0_SCL/CEC/TIMER15_CH0/TSITG,
62,PB9,gpio,I2C0_SDA/IFRP_OUT/TIMER16_CH0/EVENTOUT,
63,VSS,ground,,
64,VDD,power,,
