PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,SPI3_SCK/SAI0_MCLK_0/ETH_MII_TXD3/EXMC_A23/EVENTOUT,
2,PE3,gpio,SAI0_SD_1/EXMC_A19/EVENTOUT,
3,PE4,gpio,SPI3_NSS/SAI0_FS_0/EXMC_A20/DCI_D4/TLI_B0/EVENTOUT,
4,PE5,gpio,TIMER8_CH0/SPI3_MISO/SAI0_SCK_0/SPI0_MISO/EXMC_A21/DCI_D6/TLI_G0/EVENTOUT,
5,PE6,gpio,TIMER8_CH1/SPI3_MOSI/SAI0_SD_0/EXMC_A22/DCI_D7/TLI_G1/EVENTOUT,
6,VBAT,power,,
7,PI8,gpio,EVENTOUT/RTC_TAMP1/RTC_TAMP0/RTC_TS,
8,PC13-TAMPER-RTC,gpio,SPI0_SCK/EVENTOUT/RTC_TAMP0/RTC_OUT/RTC_TS,
9,PC14-OSC32IN,gpio,EVENTOUT/OSC32IN,
10,PC15-OSC32OUT,gpio,EVENTOUT/OSC32OUT,
11,PI9,gpio,CAN0_RX/EXMC_D30/TLI_VSYNC/EVENTOUT,
12,PI10,gpio,ETH_MII_RX_ER/EXMC_D31/TLI_HSYNC/EVENTOUT,
13,PI11,gpio,USBHS_ULPI_DIR/EVENTOUT,
14,VSS,ground,,
15,VDD,power,,
16,PF0,gpio,I2C1_SDA/EXMC_A0/CTC_SYNC/I2C4_SDA,
17,PF1,gpio,I2C1_SCL/EXMC_A1/I2C4_SCL/EVENTOUT,
18,PF2,gpio,I2C1_SMBA/EXMC_A2/I2C4_SMBA/EVENTOUT,
19,PF3,gpio,I2C1_TXFRAME/SPI2_NSS/EXMC_A3/EVENTOUT/ADC2_IN9,
20,PF4,gpio,EXMC_A4/EVENTOUT/ADC2_IN14,
21,PF5,gpio,EXMC_A5/EVENTOUT/ADC2_IN15,
22,VSS,ground,,
23,VDD,power,,
24,PF6,gpio,TIMER9_CH0/SPI4_NSS/SAI0_SD_1/UART6_RX/EXMC_NIORD/EVENTOUT/ADC2_IN4,
25,PF7,gpio,TIMER10_CH0/SPI4_SCK/SAI0_MCLK_1/UART6_TX/EXMC_NREG/EVENTOUT/ADC2_IN5,
26,PF8,gpio,SPI4_MISO/SAI0_SCK_1/TIMER12_CH0/EXMC_NIOWR/EVENTOUT/ADC2_IN6,
27,PF9,gpio,SPI4_MOSI/SAI0_FS_1/TIMER13_CH0/EXMC_CD/EVENTOUT/ADC2_IN7,
28,PF10,gpio,EXMC_INTR/DCI_D11/TLI_DE/I2C5_SMBA/EVENTOUT/ADC2_IN8,
29,PH0/OSCIN,gpio,EVENTOUT/OSCIN,
30,PH1/OSCOUT,gpio,EVENTOUT/OSCOUT,
31,NRST,reset,,
