PadNumber,PinName,PinType,Alternate,Remap
1,VDD,power,,
2,PF0-OSCIN,gpio,CTC_SYNC/OSCIN,
3,PF1-OSCOUT,gpio,OSCOUT,
4,NRST,reset,,
5,VDDA,power,,
6,PA0-WKUP,gpio,USART1_CTS/I2C1_SCL/ADC_IN0/RTC_TAMP1/WKUP0,
7,PA1,gpio,USART1_RTS/I2C1_SDA/EVENTOUT/ADC_IN1,
8,PA2,gpio,USART1_TX/TIMER14_CH0/ADC_IN2,
9,PA3,gpio,USART1_RX/TIMER14_CH1/ADC_IN3,
10,PA4,gpio,SPI0_NSS/I2S0_WS/USART1_CK/TIMER13_CH0/SPI1_NSS/ADC_IN4,
11,PA5,gpio,SPI0_SCK/I2S0_CK/ADC_IN5,
12,PA6,gpio,SPI0_MISO/I2S0_MCK/TIMER2_CH0/TIMER0_BRKIN/TIMER15_CH0/EVENTOUT/ADC_IN6,
13,PA7,gpio,SPI0_MOSI/I2S0_SD/TIMER2_CH1/TIMER13_CH0/TIMER0_CH0_ON/TIMER16_CH0/EVENTOUT/ADC_IN7,
14,PB0,gpio,TIMER2_CH2/TIMER0_CH1_ON/USART1_RX/EVENTOUT/ADC_IN8,
15,PB1,gpio,TIMER2_CH3/TIMER13_CH0/TIMER0_CH2_ON/SPI1_SCK/ADC_IN9,
16,VSS,ground,,
17,VDD,power,,
18,PA8,gpio,USART0_CK/TIMER0_CH0/CK_OUT/USART1_TX/EVENTOUT/CTC_SYNC,
19,PA9,gpio,USART0_TX/TIMER0_CH1/TIMER14_BRKIN/I2C0_SCL,
20,PA10,gpio,USART0_RX/TIMER0_CH2/TIMER16_BRKIN/I2C0_SDA,
21,PA11,gpio,USART0_CTS/TIMER0_CH3/EVENTOUT/SPI1_IO2,
22,PA12,gpio,USART0_RTS/TIMER0_ETI/EVENTOUT/SPI1_IO3,
23,PA13,gpio,SWDIO/IFRP_OUT/SPI1_MISO,
24,PA14,gpio,USART1_TX/SWCLK/SPI1_MOSI,
25,PA15,gpio,SPI0_NSS/I2S0_WS/USART1_RX/SPI1_NSS/EVENTOUT,
26,PB3,gpio,SPI0_SCK/I2S0_CK/EVENTOUT,
27,PB4,gpio,SPI0_MISO/I2S0_MCK/TIMER2_CH0/EVENTOUT,
28,PB5,gpio,SPI0_MOSI/I2S0_SD/I2C0_SMBA/TIMER15_BRKIN/TIMER2_CH1/WKUP5,
29,PB6,gpio,I2C0_SCL/USART0_TX/TIMER15_CH0_ON,
30,PB7,gpio,I2C0_SDA/USART0_RX/TIMER16_CH0_ON,
31,BOOT0,boot,,
32,VSS,ground,,
