PadNumber,PinName,PinType,Alternate,Remap
1,VBAT,power,,
2,PC13-TAMPER-RTC,gpio,TAMPER-RTC,
3,PC14-OSC32IN,gpio,OSC32IN,
4,PC15-OSC32OUT,gpio,OSC32OUT,
5,OSCIN,clock,,PD0
6,OSCOUT,clock,,PD1
7,NRST,reset,,
8,PC0,gpio,ADC012_IN10,
9,PC1,gpio,ADC012_IN11,
10,PC2,gpio,ADC012_IN12,
11,PC3,gpio,ADC012_IN13,
12,VSSA,ground,,
13,VDDA,power,,
14,PA0-WKUP,gpio,WKUP/USART1_CTS/ADC012_IN0/TIMER1_CH0/TIMER1_ETI/TIMER4_CH0/TIMER7_ETI,
15,PA1,gpio,USART1_RTS/ADC012_IN1/TIMER1_CH1/TIMER4_CH1,
16,PA2,gpio,USART1_TX/ADC012_IN2/TIMER1_CH2/TIMER4_CH2/TIMER8_CH0/SPI0_IO2,
17,PA3,gpio,USART1_RX/ADC012_IN3/TIMER1_CH3/TIMER4_CH3/TIMER8_CH1/SPI0_IO3,
18,VSS_4,ground,,
19,VDD_4,power,,
20,PA4,gpio,SPI0_NSS/USART1_CK/ADC01_IN4/DAC0_OUT0,SPI2_NSS/I2S2_WS
21,PA5,gpio,SPI0_SCK/ADC01_IN5/DAC0_OUT1,
22,PA6,gpio,SPI0_MISO/ADC01_IN6/TIMER2_CH0/TIMER7_BRKIN/TIMER12_CH0,TIMER0_BRKIN
23,PA7,gpio,SPI0_MOSI/ADC01_IN7/TIMER2_CH1/TIMER7_CH0_ON/TIMER13_CH0,TIMER0_CH0_ON
24,PC4,gpio,ADC01_IN14,
25,PC5,gpio,ADC01_IN15,
26,PB0,gpio,ADC01_IN8/TIMER2_CH2/TIMER7_CH1_ON,TIMER0_CH1_ON
27,PB1,gpio,ADC01_IN9/TIMER2_CH3/TIMER7_CH2_ON,TIMER0_CH2_ON
28,PB2,gpio,,
29,PB10,gpio,I2C1_SCL/USART2_TX,TIMER1_CH2
30,PB11,gpio,I2C1_SDA/USART2_RX,TIMER1_CH3
31,VSS_1,ground,,
32,VDD_1,power,,
33,PB12,gpio,SPI1_NSS/I2C1_SMBA/USART2_CK/TIMER0_BRKIN/I2S1_WS,
34,PB13,gpio,SPI1_SCK/USART2_CTS/TIMER0_CH0_ON/I2S1_CK,
35,PB14,gpio,SPI1_MISO/USART2_RTS/TIMER0_CH1_ON/TIMER11_CH0,
36,PB15,gpio,SPI1_MOSI/TIMER0_CH2_ON/I2S1_SD/TIMER11_CH1,
37,PC6,gpio,I2S1_MCK/TIMER7_CH0/SDIO_D6,TIMER2_CH0
38,PC7,gpio,I2S2_MCK/TIMER7_CH1/SDIO_D7,TIMER2_CH1
39,PC8,gpio,TIMER7_CH2/SDIO_D0,TIMER2_CH2
40,PC9,gpio,TIMER7_CH3/SDIO_D1,TIMER2_CH3
41,PA8,gpio,USART0_CK/TIMER0_CH0/CK_OUT0/CTC_SYNC,
42,PA9,gpio,USART0_TX/TIMER0_CH1,
43,PA10,gpio,USART0_RX/TIMER0_CH2,
44,PA11,gpio,USART0_CTS/CAN0_RX/USBDM/TIMER0_CH3,
45,PA12,gpio,USART0_RTS/CAN0_TX/TIMER0_ETI/USBDP,
46,PA13,gpio,,
47,VSS_2,ground,,
48,VDD_2,power,,
49,PA14,gpio,,
50,PA15,gpio,,
51,PC10,gpio,UART3_TX/SDIO_D2,
52,PC11,gpio,UART3_RX/SDIO_D3,USART2_TX/SPI2_SCK/I2S2_CK/USART2_RX/SPI2_MISO
53,PC12,gpio,UART4_TX/SDIO_CK,USART2_CK/SPI2_MOSI/I2S2_SD
54,PD2,gpio,TIMER2_ETI/SDIO_CMD/UART4_RX,
55,PB3,gpio,,
56,PB4,gpio,,
57,PB5,gpio,I2C0_SMBA/SPI2_MOSI/I2S2_SD,TIMER2_CH1/SPI0_MOSI
58,PB6,gpio,I2C0_SCL/TIMER3_CH0,USART0_TX/SPI0_IO2
59,PB7,gpio,I2C0_SDA/TIMER3_CH1,USART0_RX/SPI0_IO3
60,BOOT0,boot,,
61,PB8,gpio,TIMER3_CH2/SDIO_D4/TIMER9_CH0,I2C0_SCL/CAN0_RX
62,PB9,gpio,TIMER3_CH3/SDIO_D5/TIMER10_CH0,I2C0_SDA/CAN0_TX
63,VSS_3,ground,,
64,VDD_3,power,,
