PadNumber,PinName,PinType,Alternate,Remap
1,PE2,gpio,TRACECK/EXMC_A23,
2,PE3,gpio,TRACED0/EXMC_A19,
3,PE4,gpio,TRACED1/EXMC_A20,
4,PE5,gpio,TRACED2/EXMC_A21,TIMER8_CH0
5,PE6,gpio,TRACED3/EXMC_A22,TIMER8_CH1
6,VBAT,power,,
7,PC13-TAMPER-RTC,gpio,TAMPER-RTC,
8,PC14-OSC32IN,gpio,OSC32IN,
9,PC15-OSC32OUT,gpio,OSC32OUT,
10,PF0,gpio,EXMC_A0,
11,PF1,gpio,EXMC_A1,
12,PF2,gpio,EXMC_A2,
13,PF3,gpio,EXMC_A3,
14,PF4,gpio,EXMC_A4,
15,PF5,gpio,EXMC_A5,
16,VSS_5,ground,,
17,VDD_5,power,,
18,PF6,gpio,,
19,PF7,gpio,EXMC_NIORD/EXMC_NREG,TIMER9_CH0/TIMER10_CH0
20,PF8,gpio,EXMC_NIOWR,TIMER12_CH0
21,PF9,gpio,EXMC_CD,TIMER13_CH0
22,PF10,gpio,EXMC_INTR,
23,OSCIN-PD0,clock,,PD0
24,OSCOUT-PD1,clock,,PD1
25,NRST,reset,,
26,PC0,gpio,ADC01_IN10,
27,PC1,gpio,ADC01_IN11,
28,PC2,gpio,ADC01_IN12,
29,PC3,gpio,ADC01_IN13,
30,VSSA,ground,,
31,VREFN,power,,
32,VREFP,power,,
33,VDDA,power,,
34,PA0-WKUP,gpio,WKUP/USART1_CTS/ADC01_IN0/TIMER1_CH0/TIMER1_ETI/TIMER4_CH0,
35,PA1,gpio,USART1_RTS/ADC01_IN1/TIMER1_CH1/TIMER4_CH1,
36,PA2,gpio,USART1_TX/ADC01_IN2/TIMER1_CH2/TIMER4_CH2/TIMER8_CH0,
37,PA3,gpio,USART1_RX/ADC01_IN3/TIMER1_CH3/TIMER4_CH3/TIMER8_CH1,
38,VSS_4,ground,,
39,VDD_4,power,,
40,PA4,gpio,SPI0_NSS/USART1_CK/ADC01_IN4,SPI2_NSS
41,PA5,gpio,SPI0_SCK/ADC01_IN5,
42,PA6,gpio,SPI0_MISO/ADC01_IN6/TIMER2_CH0/TIMER12_CH0,
43,PA7,gpio,SPI0_MOSI/ADC01_IN7/TIMER2_CH1/TIMER13_CH0,
44,PC4,gpio,ADC01_IN14,
45,PC5,gpio,ADC01_IN15,
46,PB0,gpio,ADC01_IN8/TIMER2_CH2,
47,PB1,gpio,ADC01_IN9/TIMER2_CH3,
48,PB2,gpio,,
49,PF11,gpio,EXMC_NIOS16,
50,PF12,gpio,EXMC_A6,
51,VSS_6,ground,,
52,VDD_6,power,,
53,PF13,gpio,EXMC_A7,
54,PF14,gpio,EXMC_A8,
55,PF15,gpio,EXMC_A9,
56,PG0,gpio,EXMC_A10,
57,PG1,gpio,EXMC_A11,
58,PE7,gpio,EXMC_D4,
59,PE8,gpio,EXMC_D5,
